paper_id,paper_key,system,mode,axis,matched,system_count,expert_count,precision,recall,f1
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Processing,5,32,15,0.15625,0.333333,0.212766
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Structure,9,20,12,0.45,0.75,0.5625
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Characterization,0,30,7,0.0,0.0,0.0
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Properties,12,14,18,0.857143,0.666667,0.75
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Processing,10,32,15,0.3125,0.666667,0.425532
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Structure,9,20,12,0.45,0.75,0.5625
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Characterization,4,30,7,0.133333,0.571429,0.216216
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Properties,12,14,18,0.857143,0.666667,0.75
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Processing,5,93,15,0.053763,0.333333,0.092593
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Structure,9,20,12,0.45,0.75,0.5625
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Characterization,0,36,7,0.0,0.0,0.0
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Properties,12,14,18,0.857143,0.666667,0.75
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_loose,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_loose,Processing,10,93,15,0.107527,0.666667,0.185185
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_loose,Structure,9,20,12,0.45,0.75,0.5625
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_loose,Characterization,4,36,7,0.111111,0.571429,0.186047
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_loose,Properties,12,14,18,0.857143,0.666667,0.75
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_strict,Composition,22,28,24,0.785714,0.916667,0.846154
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_strict,Processing,8,31,15,0.258065,0.533333,0.347826
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_strict,Structure,3,124,12,0.024194,0.25,0.044118
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_strict,Characterization,4,45,7,0.088889,0.571429,0.153846
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_strict,Properties,12,46,18,0.26087,0.666667,0.375
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_loose,Composition,22,28,24,0.785714,0.916667,0.846154
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_loose,Processing,8,31,15,0.258065,0.533333,0.347826
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_loose,Structure,6,124,12,0.048387,0.5,0.088235
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_loose,Characterization,4,45,7,0.088889,0.571429,0.153846
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,unique_loose,Properties,12,46,18,0.26087,0.666667,0.375
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_strict,Composition,22,29,24,0.758621,0.916667,0.830189
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_strict,Processing,8,31,15,0.258065,0.533333,0.347826
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_strict,Structure,3,124,12,0.024194,0.25,0.044118
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_strict,Characterization,4,45,7,0.088889,0.571429,0.153846
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_strict,Properties,12,46,18,0.26087,0.666667,0.375
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_loose,Composition,22,29,24,0.758621,0.916667,0.830189
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_loose,Processing,8,31,15,0.258065,0.533333,0.347826
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_loose,Structure,6,124,12,0.048387,0.5,0.088235
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_loose,Characterization,4,45,7,0.088889,0.571429,0.153846
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,final_v5,raw_loose,Properties,12,46,18,0.26087,0.666667,0.375
paper_002,Achieving superior high-temperature mechanical properties in Al-Cu-Li-Sc-Zr alloy with nano-scale microstructure via laser additive manufacturing,business_gt,unique_strict,Composition,5,5,5,1.0,1.0,1.0
paper_002,Achieving superior high-temperature mechanical properties in Al-Cu-Li-Sc-Zr alloy with nano-scale microstructure via laser additive manufacturing,business_gt,unique_strict,Processing,6,14,9,0.428571,0.666667,0.521739
paper_002,Achieving superior high-temperature mechanical properties in Al-Cu-Li-Sc-Zr alloy with nano-scale microstructure via laser additive manufacturing,business_gt,unique_strict,Structure,11,24,12,0.458333,0.916667,0.611111
paper_002,Achieving superior high-temperature mechanical properties in Al-Cu-Li-Sc-Zr alloy with nano-scale microstructure via laser additive manufacturing,business_gt,unique_strict,Characterization,3,6,5,0.5,0.6,0.545455
