paper_id,paper_key,system,mode,axis,matched,system_count,expert_count,precision,recall,f1
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Processing,7,32,15,0.21875,0.466667,0.297872
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Structure,9,20,12,0.45,0.75,0.5625
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Characterization,0,30,7,0.0,0.0,0.0
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_strict,Properties,12,14,18,0.857143,0.666667,0.75
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Processing,12,32,15,0.375,0.8,0.510638
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Structure,9,20,12,0.45,0.75,0.5625
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Characterization,4,30,7,0.133333,0.571429,0.216216
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,unique_loose,Properties,12,14,18,0.857143,0.666667,0.75
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Composition,22,24,24,0.916667,0.916667,0.916667
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Processing,7,93,15,0.075269,0.466667,0.12963
paper_001,Achieving superior elevated temperature properties in additive manufactured nickel-based superalloys through unique alloy design,business_gt,raw_strict,Structure,9,20,12,0.45,0.75,0.5625
